,template_name,task_type,filename,original_template,human_translation,gpt_few_shot,gpt_one_shot,gpt_zero_shot,mistral_few_shot,mistral_zero_shot
45,given_context_generate_question,question generation,squad.yaml,"{{context}}

Generate a question from the above passage : ||| {{question}}","{{context}}

Genera una domanda dal passaggio in alto : ||| {{question}}","{{context}}

Genera una domanda dal passaggio sopra: ||| {{question}}","{{context}}

Genera una domanda dal passaggio sopra: ||| {{question}}","{{context}}

Genera una domanda dal passaggio sopra: ||| {{question}}","{{context}}

Genera una domanda dal passaggio precedente : ||| {{question}}","Qual è il contesto?

Generate a positive response to the above question : ||| {{positive_response}}"
46,jeopardy,question generation,squad.yaml,"{{context}}

From the above passage, a reasonable question with ""{{answers[""text""][0]}}"" as the answer would be: ||| {{question}}","{{context}}

Dal passaggio in alto, una domanda ragionevole con ""{{answers[""text""][0]}}"" come risposta sarebbe: ||| {{question}}","{{context}}

Dalla passaggio sopra, una domanda ragionevole con ""{{answers[""text""][0]}}"" come risposta sarebbe: ||| {{question}}","{{context}}

Dall'estratto sopra, una domanda ragionevole con ""{{answers[""text""][0]}}"" come risposta sarebbe: ||| {{question}}","{{context}}

Dalla passaggio sopra, una domanda ragionevole con ""{{answers[""text""][0]}}"" come risposta sarebbe: ||| {{question}}","Dal passaggio precedente, una domanda ragionevole con ""{{answers[""text""][0]}}"" come risposta sarebbe: ||| {{question}}","In base al passaggio precedente, una domanda ragionevole con ""{{answers[""text""][0]}}"" come risposta potrebbe essere: ||| {{question}}"
47,answer_the_question,extractive question answering,squad.yaml,"{{context}}

With reference to the above context, {{question}} ||| 

{{answers.text[0]}}","{{context}}

In riferimento al contesto in alto, {{question}} ||| 

{{answers.text[0]}}","{{context}}

Con riferimento al contesto sopra, {{question}} ||| 

{{answers.text[0]}}","{{context}}

Con riferimento al contesto sopra, {{question}} ||| 

{{answers.text[0]}}","{{context}}

Con riferimento al contesto sopra, {{question}} ||| 

{{answers.text[0]}}","Con riferimento al contesto precedente, {{question}} |||

{{answers.text[0]}}","In riferimento al contesto sopra indicato, {{question}} |||

{{answers.text[0]}}

{{answers.text[1]}}"
48,answer_given_context_and_question,extractive question answering,squad.yaml,"{{context}}

Q: {{question}}

Referring to the passage above, the correct answer to the given question is ||| {{answers[""text""][0]}}","{{context}}

D: {{question}}

In riferimento al passaggio in alto, la risposta corretta alla domanda posta è ||| {{answers[""text""][0]}}","{{context}}

D: {{question}}

Riferendosi al brano sopra, la risposta corretta alla domanda data Ã¨ ||| {{answers[""text""][0]}}","{{context}}

D: {{question}}

Riferendosi al brano sopra, la risposta corretta alla domanda data Ã¨ ||| {{answers[""text""][0]}}","{{context}}

D: {{question}}

Riferendosi al brano sopra, la risposta corretta alla domanda data Ã¨ ||| {{answers[""text""][0]}}","Q: {{question}}

Riferendosi al passaggio precedente, la risposta corretta alla domanda data è ||| {{answers[""testo""][0]}}","{{context}}

Q: {{question}}

Riferendosi al passaggio sopra, la risposta corretta alla domanda data è ||| {{answers[""testo""][0]} }"
49,answer-to-dialogue,text generation,dream.yaml,"Given the question ""{{question}}"" and the answer ""{{answer}}"", write a conversation that might have happened.
|||
{{dialogue | join(""\n\n"")}}","Data la domanda ""{{question}}"" e la risposta ""{{answer}}"", scrivi una conversazione che potrebbe essere avvenuta.
|||
{{dialogue | join(""\n\n"")}}","Data la domanda ""{{question}}"" e la risposta ""{{answer}}"", scrivi una conversazione che potrebbe essere avvenuta.  
|||  
{{dialogue | join(""\n\n"")}}","Data la domanda ""{{question}}"" e la risposta ""{{answer}}"", scrivi una conversazione che potrebbe essere avvenuta.
|||
{{dialogue | join(""\n\n"")}}","Data la domanda ""{{question}}"" e la risposta ""{{answer}}"", scrivi una conversazione che potrebbe essere avvenuta.  
|||  
{{dialogue | join(""\n\n"")}}","Dato la domanda ""{{question}}"" e la risposta ""{{answer}}"", scrivi una conversazione che potrebbe essersi verificata.
|||
{{dialogue | join(""\n\n"")}}","Dato la domanda ""{{question}}"" e la risposta ""{{answer}}"", scrivi una conversazione che potrebbe essersi verificata.
|||
{{dialogue | join(""\n\n"")}}
{{context}}"
50,baseline,multiple-choice question answering,dream.yaml,"Dialogue:

{{dialogue | join(""\n\n"")}}

Question: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Dialogo:

{{dialogue | join(""\n\n"")}}

Domanda: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Dialogo:

{{dialogue | join(""\n\n"")}}

Domanda: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Dialogo:

{{dialogue | join(""\n\n"")}}

Domanda: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Dialogo:

{{dialogue | join(""\n\n"")}}

Domanda: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Dialogo:

{{dialogue | join(""\n\n"")}}

Domanda: {{question}}

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Dialogo:

{{dialogue | join(""\n\n"")}}

Domanda: {{question}}

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}"
51,read_the_following_conversation_and_answer_the_question,multiple-choice question answering,dream.yaml,"Read the following conversation and answer the question.

{{dialogue | join(""\n\n"")}}

Question: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Leggi la conversazione seguente e rispondi alla domanda.

{{dialogue | join(""\n\n"")}}

Domanda: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Leggi la seguente conversazione e rispondi alla domanda.

{{dialogue | join(""\n\n"")}}

Domanda: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Leggi la seguente conversazione e rispondi alla domanda.

{{dialogue | join(""\n\n"")}}

Domanda: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Leggi la seguente conversazione e rispondi alla domanda.

{{dialogue | join(""\n\n"")}}

Domanda: {{question}} 

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Leggi il seguente dialogo e rispondi alla domanda.

{{dialogue | join(""\n\n"")}}

Domanda: {{question}}

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}
|||
{{answer}}","Leggi la seguente conversazione e rispondi alla domanda.

{{dialogue | join(""\n\n"")}}

Domanda: {{question}}

- {{answer_choices[0]}}

- {{answer_choices[1]}}

- {{answer_choices[2]}}

Risposta: {{answer}}"
52,qa_with_separated_facts_1,multiple-choice question answering,qasc.yaml,"{{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}, and {{fact2[0]|lower }}{{ fact2[1:]|trim|trim('.') }}. Given these facts, {{ question[0]|lower }}{{question[1:]|trim('?') }} among the following options:
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %} ","{{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}, e {{fact2[0]|lower }}{{ fact2[1:]|trim|trim('.') }}. Dati questi fatti, {{ question[0]|lower }}{{question[1:]|trim('?') }} tra le opzioni seguenti:
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %} ","{{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}, e {{fact2[0]|lower }}{{ fact2[1:]|trim|trim('.') }}. Date queste informazioni, {{ question[0]|lower }}{{question[1:]|trim('?') }} tra le seguenti opzioni:
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","{{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}, e {{fact2[0]|lower }}{{ fact2[1:]|trim|trim('.') }}. Dati questi fatti, {{ question[0]|lower }}{{question[1:]|trim('?') }} tra le seguenti opzioni:
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","{{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}, e {{fact2[0]|lower }}{{ fact2[1:]|trim|trim('.') }}. Date queste informazioni, {{ question[0]|lower }}{{question[1:]|trim('?') }} tra le seguenti opzioni:
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","{{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}, e {{fact2[0]|lower }}{{ fact2[1:]|trim|trim('.') }}. Dato queste informazioni, {{ question[0]|lower }}{{question[1:]|trim('?') }} tra le seguenti opzioni:
- {{answer_choices | join(""\n - "") }}

|||

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","{{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}, e {{fact2[0]|lower }}{{ fact2[1:]|trim|trim('.') }}. Dato queste informazioni, {{ question[0]|lower }}{{question[1:]|trim('?') }} tra le seguenti opzioni:
- {{answer_choices | join(""\n - "") }}

|||

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}"
53,qa_with_separated_facts_3,multiple-choice question answering,qasc.yaml,"Fact 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fact 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Given the two facts above, {{ question[0]|lower }}{{question[1:]|trim('?') }}?

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}  ","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Dati i due fatti in alto, {{ question[0]|lower }}{{question[1:]|trim('?') }}?

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}  ","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Date le due affermazioni sopra, {{ question[0]|lower }}{{question[1:]|trim('?') }}?

|||

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Date le due affermazioni sopra, {{ question[0]|lower }}{{question[1:]|trim('?') }}?

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Date le due affermazioni sopra, {{ question[0]|lower }}{{question[1:]|trim('?') }}?

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Dato i due fatti sopra, {{ question[0]|lower }}{{question[1:]|trim('?') }}?

|||

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

In base ai due fatti sopra, {{ question[0]|lower }}{{question[1:]|trim('?') }}?

|||

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}"
54,qa_with_separated_facts_2,multiple-choice question answering,qasc.yaml,"Fact 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fact 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Given the two facts above, answer the question ""{{ question }}"" with the following options: 
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %} ","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Dati i due fatti in alto, rispondi alla domanda ""{{ question }}"" con le seguenti opzioni:
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %} ","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Date le due affermazioni sopra, rispondi alla domanda ""{{ question }}"" con le seguenti opzioni: 
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Date le due affermazioni sopra, rispondi alla domanda ""{{ question }}"" con le seguenti opzioni: 
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Date le due affermazioni sopra, rispondi alla domanda ""{{ question }}"" con le seguenti opzioni: 
- {{answer_choices | join(""\n - "") }}

||| 

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

Dato i due fatti sopra, rispondi alla domanda ""{{ question }}"" con le seguenti opzioni:
- {{answer_choices | join(""\n - "") }}

|||

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}","Fatto 1: {{ fact1[0]|capitalize }}{{ fact1[1:]|trim|trim('.') }}.

Fatto 2: {{fact2[0]|capitalize }}{{ fact2[1:]|trim|trim('.') }}.

In base ai due fatti sopra, rispondi alla domanda ""{{ question }}"" con le seguenti opzioni:
- {{answer_choices | join(""\n - "") }}

|||

{% for choice in choices.label %} {% if choice == answerKey %}{{ answer_choices[loop.index - 1] }}{% endif %}{% endfor %}"
55,choose_best_object_interrogative_1,multiple-choice question answering,wiki_hop_original.yaml,"Information:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
What object entity has the relation of '{{ question_split[0] | replace(""_"", "" "")}}' with the subject '{{ question_split[1:] | join("" "")}}'? 

Choices:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale oggetto entità ha la relazione di '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'? 

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale entitÃ  oggetto ha la relazione di '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'? 

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale entitÃ  oggetto ha la relazione di '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'? 

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale entitÃ  oggetto ha la relazione di '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'? 

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale entità oggetto ha la relazione di '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'?

Opzioni:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% per support in supports %}
- {{ support }}
{% fineper %}

{% set question_split = question.split(' ') %}
Quale entità oggetto ha la relazione di '{{ question_split[0] | rimpiazzare(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'?

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}"
56,explain_relation,question answering without choices,wiki_hop_original.yaml,"Information:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
What is the relationship between '{{ question_split[1:] | join("" "")}}' and '{{answer}}'?

|||
{{ question_split[0] | replace(""_"", "" "") }}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Qual è la relazione tra '{{ question_split[1:] | join("" "")}}' e '{{answer}}'?

|||
{{ question_split[0] | replace(""_"", "" "") }}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Qual Ã¨ la relazione tra '{{ question_split[1:] | join("" "")}}' e '{{answer}}'?

|||
{{ question_split[0] | replace(""_"", "" "") }}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Qual Ã¨ la relazione tra '{{ question_split[1:] | join("" "")}}' e '{{answer}}'?

|||
{{ question_split[0] | replace(""_"", "" "") }}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Qual Ã¨ la relazione tra '{{ question_split[1:] | join("" "")}}' e '{{answer}}'?

|||
{{ question_split[0] | replace(""_"", "" "") }}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale è il rapporto tra '{{ question_split[1:] | join("" "")}}' e '{{answer}}'?

|||
{{ question_split[0] | replace(""_"", "" "") }}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale è il rapporto tra '{{ question_split[1:] | join("" "")}}' e '{{answer}}'?

|||
{{ question_split[0] | replace(""_"", "" "") }}"
57,generate_object,question answering without choices,wiki_hop_original.yaml,"Information:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
What entity does '{{ question_split[1:] | join("" "")}}' has the relation '{{ question_split[0] | replace(""_"", "" "") }}' with?

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Con quale entità '{{ question_split[1:] | join("" "")}}' ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}'?

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale entitÃ  ha '{{ question_split[1:] | join("" "")}}' la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con?

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale entitÃ  ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{ question_split[1:] | join("" "")}}'?

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale entitÃ  ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{ question_split[1:] | join("" "")}}'?

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Quale entità ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{ question_split[1:] | join("" "")}}'?

|||
{{answer}}","Informazioni:
{% per support in supports %}
- {{ support }}
{% fineper %}

{% imposta question_split = question.split(' ') %}
Quale entità ha la relazione '{{ question_split[0] | rimpiazzare(""_"", "" "") }}' con '{{ question_split[1:] | join("" "") }}'?

|||
{{answer}}"
58,generate_subject,question answering without choices,wiki_hop_original.yaml,"Information:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Given the paragraphs above, decide what entity has the relation '{{ question_split[0] | replace(""_"", "" "") }}' with '{{answer}}'.

|||
{{ question_split[1:] | join("" "")}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Dato il paragrafo in alto, decidi quale entità ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{answer}}'.

|||
{{ question_split[1:] | join("" "")}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Date le informazioni sopra, decidi quale entitÃ  ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{answer}}'.

|||
{{ question_split[1:] | join("" "")}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Date le informazioni sopra, decidi quale entitÃ  ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{answer}}'.

|||
{{ question_split[1:] | join("" "")}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Date le informazioni sopra, decidi quale entitÃ  ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{answer}}'.

|||
{{ question_split[1:] | join("" "")}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

Dato il testo sopra, decide qual'è l'entità che ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{answer}}'.

|||
{{ question_split[1:] | join("" "")}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
In base ai paragrafi sopra, decidere qual'è l'entità che ha la relazione '{{ question_split[0] | replace(""_"", "" "") }}' con '{{answer}}'.

|||
{{ question_split[1:] | join("" "")}}"
59,choose_best_object_affirmative_1,multiple-choice question answering,wiki_hop_original.yaml,"Information:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Given the information above, choose from the list below the object entity that exhibits the relation '{{ question_split[0] | replace(""_"", "" "")}}' with the subject '{{ question_split[1:] | join("" "")}}'.

Choices:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Date le informazioni in alto, scegli dalla lista sotto l'oggetto entità che esibisce la relazione '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'.

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Date le informazioni sopra, scegli dall'elenco sottostante l'entitÃ  oggetto che mostra la relazione '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'.

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Date le informazioni sopra, scegli dall'elenco qui sotto l'entitÃ  oggetto che mostra la relazione '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'.

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Date le informazioni sopra, scegli dall'elenco sottostante l'entitÃ  oggetto che mostra la relazione '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'.

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Dato l'informazione sopra, scegli dall'elenco sotto l'oggetto entità che mostra la relazione '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'.

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}","Informazioni:
{% for support in supports %}
- {{ support }}
{% endfor %}

{% set question_split = question.split(' ') %}
Dato l'informazione sopra, scegli dall'elenco sotto l'entità oggetto che mostra la relazione '{{ question_split[0] | replace(""_"", "" "")}}' con il soggetto '{{ question_split[1:] | join("" "")}}'.

Scelte:
- {{answer_choices | join(""\n - "") }}

|||
{{answer}}"
